
1903	An early semiconductor diode - the first silicon crystal detector - was patented.					
			Ultima I: The First Age of Darkness was released for Apple II. 			
			"First IBM PC was made in Taiwan. 
 - 16K of memory. 
 - featured Tim Paterson's PC-DOS v1.0; 
 - had a green screen monochrome monitor 5151 model (with the 
   machine using MDA/MDPA - monochrome display adapter). "			
			BIOS was finally integrated into IBM PCs.			
			"The first Sony 3.5-in floppy disks came out.
 - could store up to 720KB of data."			
			65C02, the CMOS version of the 6502 chip, was launched. 			
			"The MASM x86 assembler came out. 
 - uses Intel syntax for DOS and Win. "			
1982			"The Intel 80286 (i286) processor came out. 
 - 16-bit microprocessor
 - boasted the use of the protected mode for the first time (memory protection, multitasking)
 - Clock speed: 6MHz-20MHz, up to 1 MB of addressable memory"			
			Commodore 64 was released by Commodore International.			
			"Sun Microsystems was founded.
 - would become best known for work on the Java language (thanks in big part to James Gosling and his team)
 - would also develop the Sun Workstations featuring Unix systems like 4.2BSD"			
			Blit graphical terminal for Unix was co-developed by Rob Pike. 			
		"Moon Patrol  
 - parallax scrolling made possible. "	PC-DOS v1.1 was released, supporting double-sided floppy disks. 			
			"MS-DOS 2.0 was first incorporated. 
 - Mark Zbikowski replaced Tim Paterson as one of DOS' leading developers and designed 
   the executable file format (.exe). "			
1983		Flat shading came to prominence. 	IBM produced its first 5153 color monitors. 			
			Verizon was founded.			
			AOL (America Online) started life as a company called CVC (Control Video Corporation).			
			"Interplay Productions was founded. Claims to fame: 
 - Fallout
 - Baldur's Gate
 - Descent
 - Earthworm Jim
 - Icewind Dale"			
		The 1st gen died. 	"ProDOS replaced Apple DOS on Apple II. 
 - Came with its own macro assembler as Merlin Pro. "			
			"The first optical disc is announced by Panasonic and Sony.
 - could be CD, DVD, or Blu-ray"			
			The Ada programming language was standardized as Ada 83.			
			"Apple Lisa came out as one of the first PC models to feature a GUI. 
 - https://www.youtube.com/watch?v=7TOh_W6EUOc"			
			MBR (Master Boot Record) received support to aid the functionality of hard disks. 			
		The 3rd gen was born, ushering in the 8-bit era with the release of NES/Famicon. 	TCP/IP was integrated as the protocol for ARPANET.			
1984	"The 1 µm semiconductor fabrication process was commercialized. 
 - first developed in 1974"					
			Apple launches the first Macintosh model - the Apple Macintosh 128K.			
			"The first version of the X Window System, a.k.a. X11, was developed.
 - developed at MIT"			
			"Amstrad brought in the Amstrad CPC (Colour Personal Computer).
 - 8-bit home computer. "			
			MS-DOS evolves to version 3.0. 			
			"Cisco Systems was founded.
 - The co-founders developed the first LAN (local area network)."			
			Richard Stallman started working on GNU. 			
			Steven Levy's "Hackers: Heroes of the Computer Revolution" was first published.			
			"EGA (Enhanced Graphics Adapter) released. 
 - 16-color for 320x200.
 - features a larger screen buffer. "			
			ARTC HD63484, the first PC graphics processor, was developed by Hitachi.			
			"Professional Graphics Controller (PGC) or Professional Graphics Adapter (PGA)
 - from IBM
 - First graphics card (accelerator)"			
			First edition of Objective-C was published.			
			Laser compact discs. 			
			Atmel Corporation was founded.			
			Prodigy Communications, L.P., or simply Prodigy, was formed.			
c. 1985			"Xilinx developed the first FPGA (field-programmable gate array).
 - a chip containing registers and programmable LUTs (look-up tables)
 - each table defines a fundamental behavior, or a logic gate implementation (and, or, etc.)
 - thus the chip is a collection of ""open gates""
 - LUTs are connected together with a routing fabric (""switching fabric"")
 - any user can re-program the chip at any time to process their own code
 - input code is written in the Hardware Description Language (HDL) 
 - HDL is ""synthesized"" into a binary stream before it is fed into an FPGA
 - VHSIC (very high-speed integrated circuit) hardware description language, or VHDL, 
   was the original HDL
 - Verilog became another type of HDL, developed by Gateway Design Automation 
 - though meant to be specialized, FPGAs have the potential to outdo GPUs 
   in performance
 - a design of Ross Freeman, co-founder of the company
 - the device did not bear that name at the time
 - Xilinx itself was started in 1984"			
1985		"Hang-On (SEGA Genesis)
 - first game to use 16-bit graphics. 
 - use of Motorola 68000 microprocessor"	"The Intel 80386 (i386) processor came out. 
 - 32-bit microprocessor with a corresponding instruction set
 - 32-bit addressing
 - 32-bit arithmetic with 16-bit operations
 - better performance
 - advanced features such as virtual memory
 - clock speed: 16MHz-40MHz, up to 4GB addressable memory
 - even then was a rare find"			
			"MIPS (RISC) ASM has surfaced, tailored for 32-bit processing. 
 - Works with 32-bit general-purpose and floating-point 
   registers. 
 - Extendable to 64 bits. 
 - The MIPS RISC ISA would become an open ISA (OSA)."			
			"ARM (Acorn RISC Machine) Assembly was developed. 
 - 32-bit / x86 (for Intel 80386). 
 - used in embedded systems for low-power devices (cellphones, consoles, Kindle).
 - developed by Acorn Computers."			
			"The first ARM processor, ARM1, was designed by Sophie Wilson and Steve Furber.
 - had its own RISC architecture and instruction set
 - RISC - reduced instruction set computer (prolongs battery life and efficiency).
 - Supports 64-bit data buses between cores and caches. 
 - Supports implementation of multiple banks of registers, allowing 
   for more efficient context switching. 
 - Therefore is superior to x86 and MIPS chips. "			
			Apple II heyday. 			
			Microsoft Windows 1.01 was released. 			
			Steve Jobs was forced to leave Apple and founded NeXT.			
			Richard Stallman founded the Free Software Foundation (FSF).			
			America Online was formed.			
			"Enterprise 64 and Enterprise 128 computers were launched. 
 - With 64K RAM and 128K RAM, respectively. 
 - Had their own OS. "			
			ZSoft gave birth to the PCX image format for MS-DOS. 			
			First draft of C++ was published. 			
1986			"Texas Instruments releases the TMS34010
 - first fully programmable graphics processor
 - could run general-purpose code
 - had a graphics-oriented instruction set
 - became the basis of the Texas Instruments Graphics 
   Architecture (""TIGA"") Windows accelerator cards"			
			"MSI (Micro-Star International) was founded in Taipei, Taiwan.
 - would partner with AMD, using their chips to make graphics cards and laptops"			
			Apple IIGS line of computers was launched. 			
			Norton Commander terminal program (v.5.51) was released for DOS. 			
			The first version of the Erlang programming language and garbage-collected runtime system was co-developed by Joe Armstrong as an Ericsson project. 			
			"SPARC RISC ISA was developed by Sun Microsystems.
 - stands for Scalable Processor Architecture
 - would become an open ISA (OSA)"			
			"A86 MS-DOS assembler was made available as shareware. 
 - 32-bit
 - would generate code for x86 microprocessors"			
			The bitmapping technique for font design and display was developed.			
			GDB (GNU Debugger) was first developed. 			
			"The first version of GAS (GNU Assembler) came out. 
 - The Linux kernel would use this as its assembler. 
 - This assembler is part of GCC (GNU compiler collection)."			
1987		The 16-bit 4th gen was born with the introduction of NEC Home Electronics' PC Engine, a.k.a. the TurboGrafx-16. 	The start of the 16-bit era with the release of NEC's TurboGrafx-16 (PC Engine)			
			"First optical drives became commercially available. 
 - needs a laser beam to be read and/or written to"			
			IBM 8514 - 2D hardware acceleration			
			"MCGA (multicolor graphics array) and VGA (video graphics array) graphics cards were first used in IBM machines.
 - not to be confused with a GPU and a '99-and-onward non-VGA graphics card
 - a distinctive feature is the 15-pin D-subminiature VGA connector
 - the first VGA boasted 16 colors (would do well at 85 Hz)
 - 640x480 resolution
 - color depth of 4 bits per pixel
 - a VGA connector routes analog RGBHV video signals (red, green, blue, horizontal sync, 
   and vertical sync); analog signals or on a gradation scale from 0 to some max prior to 
   analog-to-digital conversion.
 - for pinout: https://en.wikipedia.org/wiki/VGA_connector"			
			Super VGA (SVGA) becomes a buzzword. 			
			"The first ""true"" SVGAs were released. 
 - They would enable res of up to 800x600."			
			"Mode 13h was introduced with the IBM PS/2
 - standard 256-color mode on VGA hardware
 - worked with 320x200 res
 - provides a linear 320x200 block of video memory, and 
   each byte represents one pixel
 - the PS/2 port is a 6-pin connection for input peripherals"			
			"SPARC V7 (Scalable Processor Architecture) was released.
 - a RISC ISA developed by Sun Microsystems 
 - originally 32-bit.
 - load-store architecture (a.k.a. register-register architecture): load/store instructions 
   operate directly on the memory; all other instructions work on registers.
 - became ""fully open, non-proprietary, and royalty-free""."			
			"The ISO/IEC JTC1 (Joint Technical Committee 1) was founded.
 / SC22 (Subcommittee 22)  
 / WG21 (Working Group 21)
 - resposible for standardization of terms in information and communications technology. "			
			The GCC (GNU Compiler Collection) was developed for Linux and Unix-like systems.			
			"The MINIX distribution was completed by Andrew S. Tanenbaum.
 - based on a microkernel architecture"			
			Turbo C 1.0, a 16-bit IDE and compiler, was released for DOS. 			
			"Virtual DOS Machine (VDM) was rolled out. 
 - could run 16-bit DOS, 32-bit DOS, and 16-bit Windows applications. "			
			Microsoft Windows 2.03 was released. 			
1988	"Narc (32-bit arcade). 
"	"Sega Genesis (Mega Drive) was released.
 - 16-bit, 4th gen."	"John Romero finished ""Dangerous Dave in the Deserted Pirate's 
Hideout"" for Apple II."			
			SVGA cards exploded and did not comply with IBM's VGA standard.			
			The first IBM PC client was launched.			
			MS-DOS 4.0 came out. 			
		"The Namco System 21 ""Polygonizer"" arcade system board was unveiled. 
 - Displayed the potential of 3D rendering. 
 - Was capable of accelerating the rendering process. 
 - Winning Run was the first game to show this in arcades. "	"The first version of the Watcom C/C++ compiler came out. 
 - had the flat mode (exceeding 64K). "			
			First SoundBlaster. 			
			The POSIX standard was completed. 			
			EDG (Edison Design Group) developed the first iteration of their own C++ compiler. 			
			Turbo C 2.0 came out. 			
			Steve Jobs shows the first NeXT Cube. 			
1989	The 800nm semiconductor fabrication process was commercialized. 					
	"Strider + the CPS-1 arcade board
 - custom sprite chips 
 - they can draw 256 16-color sprites
   per scan line"	"16-bit consoles' heyday in the console world, 
though consoles' popularity was slowly 
decreasing. "	"The 80486DX 32-bit processor is released 
 - twice as fast as 386. "			
			"VESA (Video Electronics Standards Association) was founded. 
 - Would develop and promote the VBE interface (VESA BIOS Extensions) as a computer display 
   standard - a successor to IBM's proprietary VGA. "			
			"SSD technology went flash.
 - NOR flash memory structure to make the drives performant
 - developed at Western Digital"			
		Nintendo releases the first Game Boy. 	"The first line of NeXTSTEP computers with an object-oriented multitasking operating system was manufactured. 
 - Its Mach OS was built as a derivative alternative to Unix's 4.3BSD-Tahoe kernel."			
			"Richard Stallman authored the GNU GPL (General Public License). 
 - gives everyone the four freedoms - to ""run, study, share, and modify"" GNU software"			
			Brian Fox developed the beta version of the Bash shell scripting language.			
			"Catacomb was initially released for Apple II. 
 - Ultima I -spirited. 
 - Fast-paced action shooter. "			
		"Populous was released for Amiga. 
 - regarded as the first god game. "	"Prince of Persia was released for Apple II. 
 - Images, backgrounds, animation, logic, sound, music, etc. 
   maxed out the 48 KB of RAM on Apple II. "			
			688 Attack Sub becomes the first DOS game to use VGA.			
			Borland's first version of TASM (Turbo Assembler) was released. 			
			DJ Delorie started developing DJGPP (DJ's GNU Programming Platform).			
			Tim Berners-Lee's World Wide Web was unleashed and employed (on Unix systems). 			
			The first IBM PC client was renamed to AOL (America Online).			
			Microchip Technology Inc. was founded.			
			ARPANET lost support; by this time Telnet was no longer fashionable.			
		Closing out the Apple II/Apple DOS era. 	The rise and fall of DOS; Windows; PCs dominate the video gaming industry; GPUs			
1990		Amiga 3000	"Wing Commander was first publicly distributed. 
- one of the first uses of VGA in a PC game (256 colors)."			
			"Arm Ltd. was founded.
 - investment provided by Apple
 - VLSI Technology brought the tools to the table
 - Acorn Computers delivered the human resources
 - ARM stands for ""Acorn RISC Machine"" or ""Advanced RISC Machine"" 
 - headquartered in Cambridge, UK"			
			"IBM presents the first line of 9345 hard disk drives. 
 - the first HDD to use magneto-resistive heads (the bits could be stored more densely)
 - had two 1 GB hard disk assemblies
 - the second model had two 1.5 GB HDAs"			
			Amstrad CPC was discontinued. 			
			Turbo C++ 1.0 supplanted Turbo C. 			
			Photoshop is born. 			
			"Haskell programming language was developed.
> let n = read nStr
> print . take n$ map (2^) [0..]"			
			"WWW, still tied to Unix systems, spread to the masses. 
 - the first Web server was developed on a NeXT computer"			
			C90.			
			"Dangerous Dave was reworked for DOS. 
 - used up to six colors. "			
			"Dangerous Dave in Copyright Infringement. 
 - working smooth scrolling in a PC game was applied for the first time. "			
			"TECH: Commander Keen 1-3 was released (Dec. '90) for MS-DOS. 
 - adaptive tile refresh 
   -> showed off smooth scrolling on a PC 
       (after the Dangerous Dave in Copyright Infringement demo).
   -> was replaced with an alternative for the following trilogy. 
 - the title rode the shareware marketing tactic"			
			"Windows 3.0 came out. 
 - Full support of real mode  
 - CPU: 8086/8088 processor or better
 - RAM: 1 MB 
 - Storage: Hard drive with 6–8 MB of free space
 - # of cores: 
 - Gfx cards: "			
			"640 × 480 × 16 color resolution becomes more common / ""the standard"". 
 - Common monitor size: 14 in. 
 - 320 x 200 was still very common. 
 - 15 ppd at 32"" from the monitor. "			
c. 1991			Apple created their own custom font, the true-type font, along with the corresponding file format (TTF).			
1991		First Samurai (Amiga)	Richard Stallman finished working on GNU.			
			"A kernel engineered by Linus Torvalds was first created using GNU programs, with the holistic product becoming known as the first Linux OS distribution. 
 - Linux was made to be free and open-source. 
 - GUI is not a part of Linux. The X Window system was later incorporated into Linux. "			
			"PowerPC RISC ISA was developed by the AIM group (Apple + IBM + Motorola).
 - ld/str architecture."			
			Guido van Rossum came out with Python 0.9.0. 			
			Work began on the first version of Java, led by James Gosling. 			
			The Vim v1.14 text editor was developed and made available by Bram Moolenaar. 			
			QBasic IDE and interpreter for mode 13h came out. 			
			The first commercially available 64-bit processor was developed by MIPS Technologies.			
			MS-DOS 5.0 was copyrighted. 			
	Street Fighter II (CPS-1)		Dangerous Dave 2 came out, originally designed for MS-DOS. 			
			Prehistorik. 			
			id Software was founded. 			
			Hovertank 3D was released for MS-DOS (Apr. '91). 			
			"TECH: Raycasting, texture mapping (mode 7)
 - Catacomb 3-D (Nov. '91)"		" - encoding
 - decoding
 - capturing videos
 - outputting videos"	
			"John Carmack acquires his first NeXTSTEP computer. 
 - id Software team learns Objective-C. "			
			"XGA (eXtended Graphics Array) from VESA was introduced. 
 - for 1024 × 768 non-interlaced resolution
 - maximum 70 Hz refresh rate"			
			"Win 3.1 MME (Multimedia Extensions) 1.0 was released. 
 - every IBM PC includes the 320x200x256 color driver. "			
			"Visual Basic (VB) was developed by Microsoft.
 - event-driven
 - features Component Object programming model
 - like the original, true BASIC, this language was designed to be easy to learn and use
> Private Function ParseRefs (text As String) As String
> a() = Split (text, ""<ref>"")
> For i = 0 To UBound(a())
> Next i
> End Function"			
c. 1992	The 600nm semiconductor fabrication process was commercialized. 					
1992		"Super Mario Kart (Nintendo)
 - texture mapping / mode 7 (graphics mode 
   on SNES)"	"Ultima Underworld: The Stygian Abyss came out (Mar. '92). 
 - 1st person action (RPG) in 3D envt. 
 - looking up and down
 - non-linear gameplay
 - slopes, angled walls
 - transparencies"			
		The 2nd gen died. 	"Wolfenstein 3D was released (May '92). 
 - Wolfenstein 3D engine was coded in ANSI C and Assembly. 
 - id Software's first to use VGA
 - fixed-grid levels (raycasted 3D scenes)
 - proprietary 16-bit sound drivers were used. "			
